,train_loss,test_loss,train_ACC,test_ACC,lr
1,2.174143501,1.67412794,24.928,38,0.1
2,1.563355852,1.411332654,42.146,47.83,0.1
3,1.334445633,1.378055546,51.208,50.03,0.1
4,1.134668195,1.161917583,59.07,59.08,0.1
5,1.007489939,1.276338485,64.07,57.76,0.1
6,0.90534042,1.088850342,68.082,61.93,0.1
7,0.828379824,1.018311625,70.55,65.83,0.1
8,0.775133556,0.889334906,72.606,69.41,0.1
9,0.723939819,1.060918702,74.63,66.9,0.1
10,0.685245458,1.004219437,76.006,66.41,0.1
11,0.655463562,1.293922532,77.092,59.19,0.1
12,0.626902277,0.76809011,78.16,74.2,0.1
13,0.602841458,0.895462255,79.156,71.63,0.1
14,0.592654936,0.682908114,79.498,76.74,0.1
15,0.571844955,0.693939052,80.176,75.65,0.1
16,0.55117706,0.957576861,80.81,70.56,0.1
17,0.537284283,0.827027138,81.688,72.92,0.1
18,0.527000249,0.759869366,81.786,74.57,0.1
19,0.509254207,0.746909352,82.538,74.4,0.1
20,0.500267212,0.847582384,82.812,75.06,0.1
21,0.494363862,1.110203909,82.848,66.58,0.1
22,0.477564805,0.868742007,83.388,71.42,0.1
23,0.474597677,0.8054715,83.572,73.51,0.1
24,0.463155588,0.869378095,83.912,74.48,0.1
25,0.458129405,0.673672085,84.038,78.15,0.1
26,0.45130715,0.594629234,84.412,80.39,0.1
27,0.446743069,0.733594079,84.734,76,0.1
28,0.433359483,0.599397062,85.138,80.43,0.1
29,0.434685774,0.623782057,85.102,80.12,0.1
30,0.435902226,1.108328586,84.966,69.75,0.1
31,0.428448303,0.657935982,85.242,79.03,0.1
32,0.429874707,0.684762342,85.246,77.48,0.1
33,0.424053663,0.789451139,85.424,76.33,0.1
34,0.421750262,0.613001971,85.298,80.08,0.1
35,0.41532402,0.655245473,85.65,78.16,0.1
36,0.415434658,0.50773076,85.486,82.33,0.1
37,0.415144825,0.752812838,85.876,75.79,0.1
38,0.407097029,0.741986335,86.05,76.12,0.1
39,0.408128908,0.6577994,86.05,78.44,0.1
40,0.40550424,0.90337308,86.084,69.73,0.1
41,0.400701278,0.748049193,86.164,77.41,0.1
42,0.397779501,0.752655825,86.444,75.03,0.1
43,0.391264548,0.751652096,86.428,76.24,0.1
44,0.395950619,0.656200303,86.396,78.26,0.1
45,0.395877696,0.967523288,86.326,71.45,0.1
46,0.391576271,0.704237548,86.558,78.22,0.1
47,0.388755845,0.861540417,86.54,73.26,0.1
48,0.389071906,0.530082183,86.594,82.7,0.1
49,0.383517108,0.662743305,86.83,78.96,0.1
50,0.383641522,0.797374412,86.792,76.21,0.1
51,0.383009893,0.75315236,86.868,75.49,0.1
52,0.383750007,0.572039558,86.772,81.23,0.1
53,0.383888403,0.628542552,86.98,80.19,0.1
54,0.381842908,0.741698517,86.928,78.27,0.1
55,0.378217281,0.647899759,87.024,79.58,0.1
56,0.383339251,0.53078917,86.886,82.4,0.1
57,0.371804437,0.679763262,87.242,78.55,0.1
58,0.374047826,0.555665241,87.15,81.44,0.1
59,0.378403019,0.61673546,86.99,79.68,0.1
60,0.373388626,0.505906208,87.098,82.9,0.1
61,0.368815196,0.982638803,87.06,71.24,0.1
62,0.370792036,0.573934778,87.19,81.23,0.1
63,0.364932867,0.522986715,87.354,82.7,0.1
64,0.368658709,0.513663229,87.294,82.16,0.1
65,0.370051682,0.668279631,87.214,78.71,0.1
66,0.371550487,0.653885698,87.266,79.37,0.1
67,0.366769153,0.613006181,87.368,79.51,0.1
68,0.362083013,0.472961055,87.6,84.13,0.1
69,0.364633864,0.51548516,87.364,82.81,0.1
70,0.365103346,0.567215783,87.412,82.54,0.1
71,0.364924638,0.492467063,87.394,83.48,0.1
72,0.361333693,0.595458879,87.498,80.29,0.1
73,0.365932189,0.909035305,87.318,74.06,0.1
74,0.359220394,0.663883865,87.576,78.38,0.1
75,0.363731083,0.545041922,87.542,81.73,0.1
76,0.358628433,0.532749094,87.758,81.89,0.1
77,0.359660768,0.513841288,87.552,82.85,0.1
78,0.353294416,0.641275022,87.868,80.15,0.1
79,0.35865227,0.634340209,87.726,79.24,0.1
80,0.354388651,0.696433891,87.838,77.23,0.1
81,0.359093958,0.489723807,87.398,83.95,0.1
82,0.356894159,0.486206095,87.682,83.83,0.1
83,0.360799545,0.554721338,87.668,82.3,0.1
84,0.351224819,0.556878468,87.814,80.81,0.1
85,0.355297946,0.700293252,87.788,78.87,0.1
86,0.353120533,0.540390457,87.848,82,0.1
87,0.353205204,0.496789968,87.698,83.52,0.1
88,0.352337495,0.881519783,87.98,72.61,0.1
89,0.354429407,0.50688272,87.908,83.92,0.1
90,0.348928047,0.546536794,87.97,81.93,0.1
91,0.356160814,0.522020995,87.692,82.93,0.1
92,0.350674663,0.592980562,88.02,80.73,0.1
93,0.352523413,0.512143828,87.98,82.77,0.1
94,0.350443338,0.448904561,87.918,84.9,0.1
95,0.349842727,0.697261799,87.902,77.75,0.1
96,0.35478018,0.538730184,87.61,81.76,0.1
97,0.352439534,0.755036604,87.906,76.25,0.1
98,0.347572922,0.59506403,88.128,81.13,0.1
99,0.34819852,0.535971651,87.92,82.22,0.1
100,0.346828467,0.531696981,88.198,82.05,0.1
